127.0.0.1 - - [24/Oct/2022:09:06:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:06:16 +0900] "GET /ch07/vertify/quiz-4.html HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:06:16 +0900] "GET /ch07/images/top.jpg HTTP/1.1" 200 96572
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:06:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:18:28 +0900] "GET /ch08/box-shadow.html HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:19:37 +0900] "GET /ch08/box-shadow.html HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:20:05 +0900] "GET /ch08/box-sizing.html HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:22:54 +0900] "GET /ch08/box-shadow.html HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:25:45 +0900] "GET /ch08/box-shadow.html HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:26:01 +0900] "GET /ch08/box-shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:26:03 +0900] "GET /ch08/box-shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:26:04 +0900] "GET /ch08/box-shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:26:08 +0900] "GET /ch08/box-shadow.html HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:29:18 +0900] "GET /ch08/border-1.html HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:29:58 +0900] "GET /ch08/border-1.html HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:30:15 +0900] "GET /ch08/border-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:30:16 +0900] "GET /ch08/border-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:30:17 +0900] "GET /ch08/border-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:30:18 +0900] "GET /ch08/border-1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:30:18 +0900] "GET /ch08/border-1.html HTTP/1.1" 304 -
